time [second], temperature [kelvin], volume [meter ** 3], R_i [1 / meter], R_r [1 / meter], R_t [1 / meter], v_sg [meter / second], alpha_c [meter / kilogram], m_rback [kilogram / meter ** 2 / second], tau_w [kilogram / meter / second ** 2], in_S_I [kilogram / meter ** 3], in_S_S [kilogram / meter ** 3], in_X_I [kilogram / meter ** 3], in_X_S [kilogram / meter ** 3], in_X_H [kilogram / meter ** 3], in_X_EPS [kilogram / meter ** 3], in_S_UAP [kilogram / meter ** 3], in_S_BAP [kilogram / meter ** 3], in_X_A [kilogram / meter ** 3], in_X_P [kilogram / meter ** 3], in_S_O [kilogram / meter ** 3], in_S_NO [kilogram / meter ** 3], in_S_N2 [kilogram / meter ** 3], in_S_NH [kilogram / meter ** 3], in_S_ND [kilogram / meter ** 3], in_X_ND [kilogram / meter ** 3], in_S_ALK [kilogram / meter ** 3], in_X_MLSS [kilogram / meter ** 3], S_I [kilogram / meter ** 3], S_S [kilogram / meter ** 3], X_I [kilogram / meter ** 3], X_S [kilogram / meter ** 3], X_H [kilogram / meter ** 3], X_EPS [kilogram / meter ** 3], S_UAP [kilogram / meter ** 3], S_BAP [kilogram / meter ** 3], X_A [kilogram / meter ** 3], X_P [kilogram / meter ** 3], S_O [kilogram / meter ** 3], S_NO [kilogram / meter ** 3], S_N2 [kilogram / meter ** 3], S_NH [kilogram / meter ** 3], S_ND [kilogram / meter ** 3], X_ND [kilogram / meter ** 3], S_ALK [kilogram / meter ** 3], X_MLSS [kilogram / meter ** 3], Q_in [meter ** 3 / second], Q_min [meter ** 3 / second], Q_max [meter ** 3 / second], Q_out [meter ** 3 / second], X_TSS [kilogram / meter ** 3], 
94500, 293.15, 1500.0, 33573962492.058567, -3.14402752458678, 3033573962488.9146, 0.01, 1.12, 7.127377667350254e-05, 0.12381711598584733, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.056864337358631285, 0.0512, 0.19507325797070843, 0.03688126566700872, 0.0027496593592703763, 0.001955197623393221, 0.02084749163767413, 0.0, 0.0001487514772833386, 0.02352994426150011, 0.0, 0.0, 0.031874701774070556, 0.005938346412974608, 0.009060608990112956, 0.427137594917998, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453970085570315, 
95400, 293.15, 1500.0, 33896140151.811665, -3.1742585584770375, 3033896140148.637, 0.01, 1.12, 7.127377667350254e-05, 0.1238171159992359, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.0568643178509106, 0.0512, 0.1950732420775194, 0.0368812834922421, 0.0027496617507582815, 0.0019552008002526058, 0.020847491311017867, 0.0, 0.00014875180594771, 0.023529934412410324, 0.0, 0.0, 0.031874701741060774, 0.005938345337025563, 0.00906060830217251, 0.42713759491077996, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397043448506, 
96300, 293.15, 1500.0, 34218317847.779175, -3.204489592367295, 3034218317844.5747, 0.01, 1.12, 7.127377667350254e-05, 0.12381711601126602, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.0568643003087529, 0.0512, 0.1950732277791988, 0.036881299523976174, 0.002749663901765934, 0.0019552036572482137, 0.020847491017161067, 0.0, 0.0001487521017200391, 0.023529925493603856, 0.0, 0.0, 0.031874701711489664, 0.005938344369330504, 0.009060607683263045, 0.4271375949042958, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397074799957, 
97200, 293.15, 1500.0, 34540495576.31379, -3.2347206262575523, 3034540495573.079, 0.01, 1.12, 7.127377667350254e-05, 0.12381711602207587, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686428453403601, 0.0512, 0.1950732149158453, 0.036881313942650686, 0.0027496658364694953, 0.0019552062265905455, 0.020847490752812812, 0.0, 0.0001487523678871392, 0.023529917419262206, 0.0, 0.0, 0.03187470168499739, 0.005938343498996862, 0.009060607126463966, 0.4271375948984707, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397102971395, 
98100, 293.15, 1500.0, 34862673334.13562, -3.2649516601478097, 3034862673330.8706, 0.01, 1.12, 7.127377667350254e-05, 0.12381711603178963, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686427034861813, 0.0512, 0.1950732033435707, 0.036881326910553534, 0.002749667576615353, 0.001955208537245807, 0.02084749051501204, 0.0, 0.00014875260740801168, 0.023529910111203887, 0.0, 0.0, 0.031874701661261905, 0.005938342716228295, 0.009060606625547666, 0.42713759489323755, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397128286107, 
99000, 293.15, 1500.0, 35184851118.29518, -3.295182694038067, 3035184851115.0, 0.01, 1.12, 7.127377667350254e-05, 0.12381711604051854, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686425759232135, 0.0512, 0.1950731929328986, 0.03688133857364659, 0.002749669141764229, 0.0019552106152627676, 0.020847490301094555, 0.0, 0.00014875282294646, 0.023529903498243854, 0.0, 0.0, 0.03187470163999497, 0.005938342012214325, 0.00906060617491025, 0.42713759488853614, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453971510344189, 
99900, 293.15, 1500.0, 35507028926.1401, -3.3254137279283245, 3035507028922.815, 0.01, 1.12, 7.127377667350254e-05, 0.12381711604836282, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686424612111903, 0.0512, 0.19507318356732323, 0.036881349063207884, 0.0027496705495107725, 0.0019552124840666887, 0.02084749010866327, 0.0, 0.00014875301690046925, 0.023529897515601073, 0.0, 0.0, 0.03187470162093861, 0.005938341379031091, 0.009060605769509155, 0.4271375948843123, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453971714770675, 
100800, 293.15, 1500.0, 35829206755.28516, -3.355644761818582, 3035829206751.9297, 0.01, 1.12, 7.127377667350254e-05, 0.12381711605541212, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686423580550611, 0.0512, 0.1950731751420117, 0.03688135849730867, 0.002749671815681108, 0.001955214164723616, 0.02084748993556147, 0.0, 0.00014875319142867085, 0.02352989210435133, 0.0, 0.0, 0.0318747016038619, 0.0059383408095520914, 0.009060605404807014, 0.42713759488051756, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453971898482257, 
101700, 293.15, 1500.0, 36151384603.585396, -3.3858757957088392, 3036151384600.1997, 0.01, 1.12, 7.127377667350254e-05, 0.12381711606174733, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.056864226529034105, 0.0512, 0.19507316756263623, 0.03688136698214186, 0.002749672954510532, 0.0019552156761780443, 0.020847489779848752, 0.0, 0.0001487533484741801, 0.023529887210922737, 0.0, 0.0, 0.031874701588558166, 0.0059383402973679274, 0.009060605076721096, 0.4271375948771081, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397206358221, 
102600, 293.15, 1500.0, 36473562469.1119, -3.4161068295990966, 3036473562465.696, 0.01, 1.12, 7.127377667350254e-05, 0.12381711606744089, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686421818699399, 0.0512, 0.19507316074432293, 0.03688137461321693, 0.0027496739788033728, 0.00195521703546663, 0.02084748963977933, 0.0, 0.00014875348978606642, 0.023529882786631044, 0.0, 0.0, 0.031874701574842394, 0.005938339836714128, 0.00906060478157783, 0.42713759487404485, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453972211959701, 
103500, 293.15, 1500.0, 36795740350.13003, -3.446337863489354, 3036795740346.6836, 0.01, 1.12, 7.127377667350254e-05, 0.12381711607255783, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686421068523198, 0.0512, 0.1950731546107052, 0.0368813814764346, 0.0027496749000767828, 0.0019552182579103666, 0.020847489513782555, 0.0, 0.00014875361693869095, 0.023529878787252288, 0.0, 0.0, 0.031874701562548964, 0.005938339422406237, 0.009060604516071847, 0.42713759487129255, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397234531165, 
104400, 293.15, 1500.0, 37117918245.07984, -3.4765688973796114, 3037117918241.6035, 0.01, 1.12, 7.127377667350254e-05, 0.12381711607715676, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686420393908503, 0.0512, 0.19507314909307244, 0.0368813876490534, 0.0027496757286900996, 0.001955219357287399, 0.020847489400445354, 0.0, 0.00014875373134912184, 0.023529875172630197, 0.0, 0.0, 0.03187470155152963, 0.005938339049781441, 0.009060604277229118, 0.4271375948688196, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397246516238, 
105300, 293.15, 1500.0, 37440096152.55852, -3.5067999312698688, 3037440096149.052, 0.01, 1.12, 7.127377667350254e-05, 0.12381711608129001, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.056864197872423514, 0.0512, 0.19507314412960308, 0.03688139320055908, 0.0027496764739612027, 0.0019552203459884242, 0.02084748929849644, 0.0, 0.00014875383429281856, 0.02352987190631586, 0.0, 0.0, 0.03187470154165166, 0.005938338714646078, 0.009060604062373787, 0.4271375948665976, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397257288121, 
106200, 293.15, 1500.0, 37762274071.3045, -3.537030965160126, 3037762274067.7676, 0.01, 1.12, 7.127377667350254e-05, 0.12381711608500515, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.056864192416790825, 0.0512, 0.19507313966467485, 0.03688139819344651, 0.002749677144271181, 0.0019552212351564334, 0.020847489206792094, 0.0, 0.0001487539269177557, 0.023529868955237405, 0.0, 0.0, 0.03187470153279622, 0.005938338413228421, 0.0090606038690983, 0.427137594864601, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397266969827, 
107100, 293.15, 1500.0, 38084452000.18328, -3.5672619990503835, 3038084451996.6157, 0.01, 1.12, 7.127377667350254e-05, 0.12381711608834425, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686418751062957, 0.0512, 0.19507313564824383, 0.03688140268392297, 0.002749677747158492, 0.0019552220348123778, 0.02084748912430339, 0.0, 0.00014875401025714192, 0.023529866289397423, 0.0, 0.0, 0.03187470152485692, 0.005938338142136217, 0.009060603695236553, 0.427137594862807, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453972756718684, 
108000, 293.15, 1500.0, 38406629938.17462, -3.597493032940641, 3038406629934.577, 0.01, 1.12, 7.127377667350254e-05, 0.12381711609134557, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686418309858596, 0.0512, 0.19507313203528553, 0.03688140672254065, 0.0027496782894036527, 0.001955222753968173, 0.02084748905010467, 0.0, 0.00014875408524087278, 0.02352986388159608, 0.0, 0.0, 0.03187470151773848, 0.005938337898318515, 0.009060603538839682, 0.42713759486119485, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397283493531, 
108900, 293.15, 1500.0, 38728807884.36101, -3.6277240668308983, 3038728807880.733, 0.01, 1.12, 7.127377667350254e-05, 0.12381711609404333, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.0568641791308843, 0.0512, 0.19507312878529204, 0.03688141035476565, 0.0027496787771054266, 0.0019552234007283197, 0.020847488983363197, 0.0, 0.0001487541527058433, 0.023529861707177926, 0.0, 0.0, 0.031874701511355616, 0.0059383376790313105, 0.009060603398154309, 0.4271375948597463, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397290524017, 
109800, 293.15, 1500.0, 39050985837.91732, -3.6579551007211557, 3039050985834.26, 0.01, 1.12, 7.127377667350254e-05, 0.12381711609646814, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.056864175562764685, 0.0512, 0.19507312586181924, 0.03688141362148954, 0.0027496792157493516, 0.0019552239823812873, 0.020847488923329823, 0.0, 0.00014875421340523345, 0.023529859743800546, 0.0, 0.0, 0.03187470150563191, 0.0059383374818066685, 0.009060603271602956, 0.42713759485844455, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453972968434754, 
110700, 293.15, 1500.0, 39373163798.10153, -3.688186134611413, 3039373163794.4136, 0.01, 1.12, 7.127377667350254e-05, 0.12381711609864784, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686417235397733, 0.0512, 0.19507312323207976, 0.03688141655948966, 0.0027496796102693846, 0.001955224505481693, 0.02084748886933063, 0.0, 0.0001487542680168686, 0.023529857971223353, 0.0, 0.0, 0.03187470150049896, 0.0059383373044249455, 0.009060603157766413, 0.4271375948572747, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973025239173, 
111600, 293.15, 1500.0, 39695341764.24633, -3.7184171685016705, 3039695341760.528, 0.01, 1.12, 7.127377667350254e-05, 0.12381711610060717, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686416946832795, 0.0512, 0.19507312086657613, 0.036881419201843006, 0.002749679965103349, 0.001955224975924202, 0.020847488820759347, 0.0, 0.00014875431715074655, 0.023529856371114825, 0.0, 0.0, 0.03187470149589547, 0.005938337144889809, 0.009060603055367872, 0.42713759485622343, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973076300492, 
112500, 293.15, 1500.0, 40017519735.7516, -3.748648202391928, 3040017519732.003, 0.01, 1.12, 7.127377667350254e-05, 0.12381711610236851, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686416687326897, 0.0512, 0.19507311873877123, 0.03688142157829849, 0.0027496802842428125, 0.0019552253990099844, 0.020847488777070593, 0.0, 0.0001487543613558145, 0.02352985492687679, 0.0, 0.0, 0.03187470149176656, 0.005938337001405765, 0.009060602963258656, 0.42713759485527875, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973122200126, 
113400, 293.15, 1500.0, 40339697712.07766, -3.7788792362821852, 3040339697708.299, 0.01, 1.12, 7.127377667350254e-05, 0.12381711610395174, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686416453953197, 0.0512, 0.19507311682479128, 0.03688142371561179, 0.0027496805712779507, 0.0019552257795064807, 0.020847488737773756, 0.0, 0.00014875440112607012, 0.023529853623484257, 0.0, 0.0, 0.031874701488063074, 0.00593833687235796, 0.009060602880405366, 0.42713759485442976, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973163460535, 
114300, 293.15, 1500.0, 40661875692.73916, -3.8091102701724426, 3040661875688.93, 0.01, 1.12, 7.127377667350254e-05, 0.12381711610537499, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686416244079723, 0.0512, 0.19507311510315878, 0.036881425637846514, 0.0027496808294379007, 0.0019552261217011435, 0.020847488702427495, 0.0, 0.00014875443690605384, 0.02352985244733955, 0.0, 0.0, 0.03187470148474094, 0.005938336756293999, 0.009060602805878325, 0.42713759485366676, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973200551196, 
115200, 293.15, 1500.0, 40984053677.29962, -3.8393413040627, 3040984053673.4604, 0.01, 1.12, 7.127377667350254e-05, 0.12381711610665438, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686416055339647, 0.0512, 0.19507311355455234, 0.036881427366645014, 0.00274968106162706, 0.0019552264294497705, 0.020847488670634795, 0.0, 0.00014875446909579364, 0.023529851386139545, 0.0, 0.0, 0.03187470148176072, 0.005938336651907606, 0.009060602738841182, 0.42713759485298103, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397323389402, 
116100, 293.15, 1500.0, 41306231665.366516, -3.8695723379529574, 3041306231661.497, 0.01, 1.12, 7.127377667350254e-05, 0.12381711610780455, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686415885604579, 0.0512, 0.19507311216159018, 0.03688142892147201, 0.00274968127045774, 0.001955226706219969, 0.020847488642038527, 0.0, 0.00014875449805525602, 0.023529850428754825, 0.0, 0.0, 0.03187470147908704, 0.00593833655802392, 0.009060602678541542, 0.42713759485236474, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973263868142, 
117000, 293.15, 1500.0, 41628409656.58684, -3.899803371843215, 3041628409652.687, 0.01, 1.12, 7.127377667350254e-05, 0.12381711610883853, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686415732960524, 0.0512, 0.19507311090863566, 0.03688143031983368, 0.0027496814582795293, 0.00195522695513024, 0.02084748861631743, 0.0, 0.00014875452410835258, 0.023529849565119845, 0.0, 0.0, 0.031874701476688236, 0.005938336473586282, 0.009060602624302545, 0.42713759485181085, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973290814293, 
117900, 293.15, 1500.0, 41950587650.64312, -3.930034405733472, 3041950587646.713, 0.01, 1.12, 7.127377667350254e-05, 0.123817116109768, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.056864155956862894, 0.0512, 0.19507310978162226, 0.0368814315774747, 0.0027496816272057144, 0.0019552271789851326, 0.020847488593182514, 0.0, 0.00014875454754654702, 0.023529848786133067, 0.0, 0.0, 0.0318747014745359, 0.005938336397644331, 0.0090606025755153, 0.42713759485131303, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973315038694, 
118800, 293.15, 1500.0, 42272765647.249855, -3.9602654396237296, 3042272765643.2896, 0.01, 1.12, 7.127377667350254e-05, 0.12381711611060373, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.056864154722340576, 0.0512, 0.1950731087678959, 0.036881432708555525, 0.0027496817791370382, 0.001955227380306851, 0.020847488572373833, 0.0, 0.00014875456863210133, 0.023529848083566177, 0.0, 0.0, 0.031874701472604614, 0.0059383363293433215, 0.009060602531632047, 0.4271375948508656, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973336816545, 
119700, 293.15, 1500.0, 42594943646.15029, -3.990496473513987, 3042594943642.1597, 0.01, 1.12, 7.127377667350254e-05, 0.12381711611135493, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.0568641536121191, 0.0512, 0.19507310785607343, 0.03688143372581172, 0.0027496819157830743, 0.0019552275613636838, 0.02084748855365755, 0.0, 0.00014875458760099812, 0.023529847449981732, 0.0, 0.0, 0.031874701470871555, 0.005938336267914498, 0.00906060249216004, 0.4271375948504635, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973356395192, 
120600, 293.15, 1500.0, 42917121647.11352, -4.020727507404245, 3042917121643.093, 0.01, 1.12, 7.127377667350254e-05, 0.12381711611203036, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686415261368129, 0.0512, 0.1950731070359147, 0.03688143464069736, 0.0027496820386814485, 0.0019552277241955685, 0.02084748853682334, 0.0, 0.00014875460466557086, 0.0235298468786583, 0.0, 0.0, 0.03187470146931629, 0.005938336212666443, 0.009060602456656014, 0.427137594850102, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973373996935, 
121500, 293.15, 1500.0, 43239299649.93187, -4.050958541294502, 3043239299645.881, 0.01, 1.12, 7.127377667350254e-05, 0.12381711611263757, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686415171577065, 0.0512, 0.1950731062982083, 0.03688143546351398, 0.0027496821492151305, 0.0019552278706370814, 0.020847488521681983, 0.0, 0.000148754620016871, 0.023529846363522584, 0.0, 0.0, 0.031874701467920506, 0.005938336162977306, 0.009060602424721226, 0.4271375948497771, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.21453973389821568, 
122400, 293.15, 1500.0, 43561477654.4186, -4.0811895751847596, 3043561477650.3374, 0.01, 1.12, 7.127377667350254e-05, 0.1238171161131835, 0.009000000000000001, 0.0695, 0.0512, 0.20232, 0.026760000000000003, 0.00141, 0.0, 0.021, 0.0, 0.0, 0.03, 0.0, 0.0, 0.03156, 0.0069500000000000004, 0.00937, 0.42711760000000004, 13.4, 0.009000000000000001, 0.05686415090826444, 0.0512, 0.19507310563466793, 0.03688143620352652, 0.002749682248627987, 0.0019552280023381156, 0.0208474885080633, 0.0, 0.000148754633826799, 0.02352984589908782, 0.0, 0.0, 0.03187470146666777, 0.0059383361182877925, 0.009060602395996986, 0.42713759484948505, 13.4, 0.2134991898148148, 0.11574074074074071, 0.3724537037037036, 0.2134991898148148, 0.2145397340404869, 
